Catalog number,old,MW,Plate Location,Plate number,96 Plate Map,96 well,384 Plate ID,Plate Map,Well,Human Readable Name,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
EI-126,Dexamethasone,392.5,5-A09,5,Plate 1,A09,EnzoICCB2,SP0130,A17,Dexamethasone - steroid hormone,ICCB Known Bioactives Library,2.55,Nuclear receptor ligands:  corticosteroid,DMSO,2840,Dexamethasone - steroid hormone
GR-311,Mitomycin C,334.3,5-H05,5,Plate 1,H05,EnzoICCB2,SP0130,O09,Mitomycin C - Inhibits DNA synthesis,ICCB Known Bioactives Library,2.99,Inhibitors:  cross links DNA,DMSO,2840,Mitomycin C - Inhibits DNA synthesis
CC-103,Methotrexate,424.5,5-H02,5,Plate 1,H02,EnzoICCB2,SP0130,O03,Methotrexate - DHFR inhibitor,ICCB Known Bioactives Library,2.36,CNS receptor ligands:  DHFR inhibitor,DMSO,2840,Methotrexate - DHFR inhibitor
EI-270,Rottlerin,516.5,6-C11,6,Plate 2,C11,EnzoICCB2,SP0130,E22,Rottlerin - kinase inhibitor,ICCB Known Bioactives Library,1.94,Kinase inhibitors:  PKC delta inhibitor,DMSO,2840,Rottlerin - kinase inhibitor
A-230,Decoyinine,279.3,5-A06,5,Plate 1,A06,EnzoICCB2,SP0130,A11,Decoyinine - GMP synthetase inhibitor,ICCB Known Bioactives Library,3.58,Inhibitors:  lowers GTP levels,DMSO,2840,Decoyinine - GMP synthetase inhibitor
AR-107,(S)-(-)-propranolol·HCl,295.8,6-B11,6,Plate 2,B11,EnzoICCB2,SP0130,C22,Propranolol (S-) - beta adrenergic agonist,ICCB Known Bioactives Library,3.38,CNS receptor ligands:  adrenoceptor antagonist (beta),DMSO,2840,Propranolol (S-) - beta adrenergic agonist
EI-306,SU-4312,264.3,6-A10,6,Plate 2,A10,EnzoICCB2,SP0130,A20,SU-4312 - kinase inhibitor,ICCB Known Bioactives Library,3.78,Kinase inhibitors:  VEGF-R (Flk-1) tyrosine kinase ,DMSO,2840,SU-4312 - kinase inhibitor
AP-300,TPEN,424.5,6-F04,6,Plate 2,F04,EnzoICCB2,SP0130,K08,TPEN - cell permable heavy metal chelator,ICCB Known Bioactives Library,2.36,Inhibitors:  cell permable heavy metal chelator,DMSO,2840,TPEN - cell permable heavy metal chelator
PI-120,Pepstatin,685.9,6-A11,6,Plate 2,A11,EnzoICCB2,SP0130,A22,Pepstatin - protease inhibitor,ICCB Known Bioactives Library,1.46,Protease inhibitors:  protease inhibitor,DMSO,2840,Pepstatin - protease inhibitor
T-112,Alrestatin,255.2,6-E03,6,Plate 2,E03,EnzoICCB2,SP0130,I06,Alrestatin - aldose reductase inhibitor,ICCB Known Bioactives Library,3.92,Inhibitors:  aldose reductase inhibitor,DMSO,2840,Alrestatin - aldose reductase inhibitor
PI-143,Nafamostat mesylate ,443.5,6-F08,6,Plate 2,F08,EnzoICCB2,SP0130,K16,Nafamostst mesylate - protease inhibitor,ICCB Known Bioactives Library,2.25,Inhibitors:  Serine protease inhibitor,DMSO,2840,Nafamostst mesylate - protease inhibitor
ST-300,RHC-80267,394.5,6-C08,6,Plate 2,C08,EnzoICCB2,SP0130,E16,RHC-80267 - DAG lipase inhibitor,ICCB Known Bioactives Library,2.53,Lipid biosynthesis:  DAG lipase inhibitor,DMSO,2840,RHC-80267 - DAG lipase inhibitor
PI-107,E-64-d,342.4,5-B11,5,Plate 1,B11,EnzoICCB2,SP0130,C21,E-64-d - protease inhibitor,ICCB Known Bioactives Library,2.92,Protease inhibitors:  calpain/cathepsin inhibitor,DMSO,2840,E-64-d - protease inhibitor
EI-184,HA-1004,293.3,5-D08,5,Plate 1,D08,EnzoICCB2,SP0130,G15,HA-1004 - kinase inhibitor,ICCB Known Bioactives Library,3.41,Kinase inhibitors:  kinase inhibitor,DMSO,2840,HA-1004 - kinase inhibitor
A-235,FK-506,804,5-H11,5,Plate 1,H11,EnzoICCB2,SP0130,O21,FK-506 - prolyl cis-trans isomerase inhibitor,ICCB Known Bioactives Library,1.24,Inhibitors:  FKBP ligand,DMSO,2840,FK-506 - prolyl cis-trans isomerase inhibitor
EI-261,NS-398,314.4,6-H03,6,Plate 2,H03,EnzoICCB2,SP0130,O06,NS-398 - cyclooxygenase inhibitor,ICCB Known Bioactives Library,3.18,Lipid biosynthesis:  Cox-2 inhibitor,DMSO,2840,NS-398 - cyclooxygenase inhibitor
EI-211,CDC,321.3,6-H08,6,Plate 2,H08,EnzoICCB2,SP0130,O16,CDC - lipoxygenase inhibitor,ICCB Known Bioactives Library,3.11,Lipid biosynthesis:  12-Lipoxygenase inhibitor,DMSO,2840,CDC - lipoxygenase inhibitor
EI-271,Piceatannol,244.2,6-D11,6,Plate 2,D11,EnzoICCB2,SP0130,G22,Piceatannol - kinase inhibitor,ICCB Known Bioactives Library,4.09,Kinase inhibitors:  Syk inhibitor,DMSO,2840,Piceatannol - kinase inhibitor
AP-100,6(5H)-Phenanthridinone,195.2,6-B02,6,Plate 2,B02,EnzoICCB2,SP0130,C04,Phenanthridinone [6(5H)-Phenanthridinone] - PARP inhibitor,ICCB Known Bioactives Library,5.12,Inhibitors:  PARP inhibitor,DMSO,2840,Phenanthridinone [6(5H)-Phenanthridinone] - PARP inhibitor
CC-200,Olomoucine,298.3,6-A06,6,Plate 2,A06,EnzoICCB2,SP0130,A12,Olomoucine - kinase inhibitor,ICCB Known Bioactives Library,3.35,Kinase inhibitors:  CDK inhibitor,DMSO,2840,Olomoucine - kinase inhibitor
CN-240,Diphenyleneiodonium ,279.1,5-B05,5,Plate 1,B05,EnzoICCB2,SP0130,C09,Diphenyleneiodonium Cl - NOS inhibitor,ICCB Known Bioactives Library,3.58,Inhibitors:  flavoprotein inhibitor,DMSO,2840,Diphenyleneiodonium Cl - NOS inhibitor
