Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
SP40008,A02,Tamoxifen (NSC-180973),Tamoxifen (NSC-180973),10,m,2,1
SP40008,A03,Tamoxilog (NSC-670224),Tamoxilog (NSC-670224),10,m,3,1
SP40008,A04,Aminopterin Dihydrate,Aminopterin Dihydrate,10,m,4,1
SP40008,A05,Methotrexate,Methotrexate,10,m,5,1
SP40008,A06,Methyl Methane Sulfonate,Methyl Methane Sulfonate,10,m,6,1
SP40008,A07,Melphalan (NSC-8806),Melphalan (NSC-8806),10,m,7,1
SP40008,A08,Arabinofuranosylcytosine,Arabinofuranosylcytosine,10,m,8,1
SP40008,A09,Hydroxyurea,Hydroxyurea,10,m,9,1
SP40008,A10,5-Fluorouracil,5-Fluorouracil,10,m,10,1
SP40008,A11,Phleomycin,Phleomycin,10,m,11,1
SP40008,A13,Cisplatin,Cisplatin,10,m,13,1
SP40008,A14,Ellipticine,Ellipticine,10,m,14,1
SP40008,A15,Actinomycin D,Actinomycin D,10,m,15,1
SP40008,A16,Camptothecin,Camptothecin,10,m,16,1
SP40008,A18,Streptozocin,Streptozocin,10,m,18,1
SP40008,A19,Tunicamycin,Tunicamycin,5,m,19,1
SP40008,A20,Sodium Butyrate,Sodium Butyrate,10,m,20,1
SP40008,A21,Trichostatin A,Trichostatin A,10,m,21,1
SP40008,A22,Valproic Acid,Valproic Acid,10,m,22,1
SP40008,A23,Sodium Orthovanadate,Sodium Orthovanadate,10,m,23,1
SP40008,A24,Splitomicin,Splitomicin,10,m,24,1
SP40008,B02,Tamoxifen (NSC-180973),Tamoxifen (NSC-180973),5,m,2,2
SP40008,B03,Tamoxilog (NSC-670224),Tamoxilog (NSC-670224),5,m,3,2
SP40008,B04,Aminopterin Dihydrate,Aminopterin Dihydrate,5,m,4,2
SP40008,B05,Methotrexate,Methotrexate,5,m,5,2
SP40008,B06,Methyl Methane Sulfonate,Methyl Methane Sulfonate,5,m,6,2
SP40008,B07,Melphalan (NSC-8806),Melphalan (NSC-8806),5,m,7,2
SP40008,B08,Arabinofuranosylcytosine,Arabinofuranosylcytosine,5,m,8,2
SP40008,B09,Hydroxyurea,Hydroxyurea,5,m,9,2
SP40008,B10,5-Fluorouracil,5-Fluorouracil,5,m,10,2
SP40008,B11,Phleomycin,Phleomycin,5,m,11,2
SP40008,B13,Cisplatin,Cisplatin,5,m,13,2
SP40008,B14,Ellipticine,Ellipticine,5,m,14,2
SP40008,B15,Actinomycin D,Actinomycin D,5,m,15,2
SP40008,B16,Camptothecin,Camptothecin,5,m,16,2
SP40008,B18,Streptozocin,Streptozocin,5,m,18,2
SP40008,B19,Tunicamycin,Tunicamycin,2.5,m,19,2
SP40008,B20,Sodium Butyrate,Sodium Butyrate,5,m,20,2
SP40008,B21,Trichostatin A,Trichostatin A,5,m,21,2
SP40008,B22,Valproic Acid,Valproic Acid,5,m,22,2
SP40008,B23,Sodium Orthovanadate,Sodium Orthovanadate,5,m,23,2
SP40008,B24,Splitomicin,Splitomicin,5,m,24,2
SP40008,C02,Tamoxifen (NSC-180973),Tamoxifen (NSC-180973),2.5,m,2,3
SP40008,C03,Tamoxilog (NSC-670224),Tamoxilog (NSC-670224),2.5,m,3,3
SP40008,C04,Aminopterin Dihydrate,Aminopterin Dihydrate,2.5,m,4,3
SP40008,C05,Methotrexate,Methotrexate,2.5,m,5,3
SP40008,C06,Methyl Methane Sulfonate,Methyl Methane Sulfonate,2.5,m,6,3
SP40008,C07,Melphalan (NSC-8806),Melphalan (NSC-8806),2.5,m,7,3
SP40008,C08,Arabinofuranosylcytosine,Arabinofuranosylcytosine,2.5,m,8,3
SP40008,C09,Hydroxyurea,Hydroxyurea,2.5,m,9,3
SP40008,C10,5-Fluorouracil,5-Fluorouracil,2.5,m,10,3
SP40008,C11,Phleomycin,Phleomycin,2.5,m,11,3
SP40008,C13,Cisplatin,Cisplatin,2.5,m,13,3
SP40008,C14,Ellipticine,Ellipticine,2.5,m,14,3
SP40008,C15,Actinomycin D,Actinomycin D,2.5,m,15,3
SP40008,C16,Camptothecin,Camptothecin,2.5,m,16,3
SP40008,C18,Streptozocin,Streptozocin,2.5,m,18,3
SP40008,C19,Tunicamycin,Tunicamycin,1.25,m,19,3
SP40008,C20,Sodium Butyrate,Sodium Butyrate,2.5,m,20,3
SP40008,C21,Trichostatin A,Trichostatin A,2.5,m,21,3
SP40008,C22,Valproic Acid,Valproic Acid,2.5,m,22,3
SP40008,C23,Sodium Orthovanadate,Sodium Orthovanadate,2.5,m,23,3
SP40008,C24,Splitomicin,Splitomicin,2.5,m,24,3
SP40008,D02,Tamoxifen (NSC-180973),Tamoxifen (NSC-180973),1.25,m,2,4
SP40008,D03,Tamoxilog (NSC-670224),Tamoxilog (NSC-670224),1.25,m,3,4
SP40008,D04,Aminopterin Dihydrate,Aminopterin Dihydrate,1.25,m,4,4
SP40008,D05,Methotrexate,Methotrexate,1.25,m,5,4
SP40008,D06,Methyl Methane Sulfonate,Methyl Methane Sulfonate,1.25,m,6,4
SP40008,D07,Melphalan (NSC-8806),Melphalan (NSC-8806),1.25,m,7,4
SP40008,D08,Arabinofuranosylcytosine,Arabinofuranosylcytosine,1.25,m,8,4
SP40008,D09,Hydroxyurea,Hydroxyurea,1.25,m,9,4
SP40008,D10,5-Fluorouracil,5-Fluorouracil,1.25,m,10,4
SP40008,D11,Phleomycin,Phleomycin,1.25,m,11,4
SP40008,D13,Cisplatin,Cisplatin,1.25,m,13,4
SP40008,D14,Ellipticine,Ellipticine,1.25,m,14,4
SP40008,D15,Actinomycin D,Actinomycin D,1.25,m,15,4
SP40008,D16,Camptothecin,Camptothecin,1.25,m,16,4
SP40008,D18,Streptozocin,Streptozocin,1.25,m,18,4
SP40008,D19,Tunicamycin,Tunicamycin,0.625,m,19,4
SP40008,D20,Sodium Butyrate,Sodium Butyrate,1.25,m,20,4
SP40008,D21,Trichostatin A,Trichostatin A,1.25,m,21,4
SP40008,D22,Valproic Acid,Valproic Acid,1.25,m,22,4
SP40008,D23,Sodium Orthovanadate,Sodium Orthovanadate,1.25,m,23,4
SP40008,D24,Splitomicin,Splitomicin,1.25,m,24,4
