96 Plate ID,96 plate number,96 Well,384 Plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
1867-F-24,1,A02,Pfizer_PL_Plate1,SP20242,A03,1867F-24_03,1867F-24_03,-1,m,3,1
,2,A02,Pfizer_PL_Plate1,SP20242,A04,RLIN_1017_1_B_01,RLIN_1017_1_B_01,-1,m,4,1
1867-F-24,1,A03,Pfizer_PL_Plate1,SP20242,A05,1867F-24_04,1867F-24_04,-1,m,5,1
,2,A03,Pfizer_PL_Plate1,SP20242,A06,RLIN_1017_1_C_01,RLIN_1017_1_C_01,-1,m,6,1
1867-F-24,1,A04,Pfizer_PL_Plate1,SP20242,A07,1867F-24_05,1867F-24_05,-1,m,7,1
,2,A04,Pfizer_PL_Plate1,SP20242,A08,RLIN_1017_1_D_01,RLIN_1017_1_D_01,-1,m,8,1
1867-F-24,1,A05,Pfizer_PL_Plate1,SP20242,A09,1867F-24_06,1867F-24_06,-1,m,9,1
,2,A05,Pfizer_PL_Plate1,SP20242,A10,RLIN_1017_1_E_01,RLIN_1017_1_E_01,-1,m,10,1
1867-F-24,1,A06,Pfizer_PL_Plate1,SP20242,A11,1867F-24_07,1867F-24_07,-1,m,11,1
,2,A06,Pfizer_PL_Plate1,SP20242,A12,RLIN_1017_1_F_01,RLIN_1017_1_F_01,-1,m,12,1
1867-F-24,1,A07,Pfizer_PL_Plate1,SP20242,A13,1867F-24_08,1867F-24_08,-1,m,13,1
,2,A07,Pfizer_PL_Plate1,SP20242,A14,RLIN_1017_2_C_01,RLIN_1017_2_C_01,-1,m,14,1
1867-F-24,1,A08,Pfizer_PL_Plate1,SP20242,A15,1867F-24_09,1867F-24_09,-1,m,15,1
,2,A08,Pfizer_PL_Plate1,SP20242,A16,RLIN_1017_2_D_01,RLIN_1017_2_D_01,-1,m,16,1
1867-F-24,1,A09,Pfizer_PL_Plate1,SP20242,A17,1867F-24_10,1867F-24_10,-1,m,17,1
,2,A09,Pfizer_PL_Plate1,SP20242,A18,RLIN_1017_E_01,RLIN_1017_E_01,-1,m,18,1
1867-F-24,1,A10,Pfizer_PL_Plate1,SP20242,A19,1867F-24_11,1867F-24_11,-1,m,19,1
,2,A10,Pfizer_PL_Plate1,SP20242,A20,RLIN_1017_F_01,RLIN_1017_F_01,-1,m,20,1
1867-F-24,1,A11,Pfizer_PL_Plate1,SP20242,A21,1867F-24_12,1867F-24_12,-1,m,21,1
1867F-25,3,A02,Pfizer_PL_Plate1,SP20242,B03,1867-F-25_03,1867-F-25_03,-1,m,3,2
,4,A02,Pfizer_PL_Plate1,SP20242,B04,RLIN_1017_1_B_02,RLIN_1017_1_B_02,-1,m,4,2
1867F-25,3,A03,Pfizer_PL_Plate1,SP20242,B05,1867-F-25_04,1867-F-25_04,-1,m,5,2
,4,A03,Pfizer_PL_Plate1,SP20242,B06,RLIN_1017_1_C_02,RLIN_1017_1_C_02,-1,m,6,2
1867F-25,3,A04,Pfizer_PL_Plate1,SP20242,B07,1867-F-25_05,1867-F-25_05,-1,m,7,2
,4,A04,Pfizer_PL_Plate1,SP20242,B08,RLIN_1017_1_D_02,RLIN_1017_1_D_02,-1,m,8,2
1867F-25,3,A05,Pfizer_PL_Plate1,SP20242,B09,1867-F-25_06,1867-F-25_06,-1,m,9,2
,4,A05,Pfizer_PL_Plate1,SP20242,B10,RLIN_1017_1_E_02,RLIN_1017_1_E_02,-1,m,10,2
1867F-25,3,A06,Pfizer_PL_Plate1,SP20242,B11,1867-F-25_07,1867-F-25_07,-1,m,11,2
,4,A06,Pfizer_PL_Plate1,SP20242,B12,RLIN_1017_1_F_02,RLIN_1017_1_F_02,-1,m,12,2
1867F-25,3,A07,Pfizer_PL_Plate1,SP20242,B13,1867-F-25_08,1867-F-25_08,-1,m,13,2
,4,A07,Pfizer_PL_Plate1,SP20242,B14,RLIN_1017_2_C_02,RLIN_1017_2_C_02,-1,m,14,2
1867F-25,3,A08,Pfizer_PL_Plate1,SP20242,B15,1867-F-25_09,1867-F-25_09,-1,m,15,2
,4,A08,Pfizer_PL_Plate1,SP20242,B16,RLIN_1017_2_D_02,RLIN_1017_2_D_02,-1,m,16,2
1867F-25,3,A09,Pfizer_PL_Plate1,SP20242,B17,1867-F-25_10,1867-F-25_10,-1,m,17,2
,4,A09,Pfizer_PL_Plate1,SP20242,B18,RLIN_1017_E_02,RLIN_1017_E_02,-1,m,18,2
1867F-25,3,A10,Pfizer_PL_Plate1,SP20242,B19,1867-F-25_11,1867-F-25_11,-1,m,19,2
,4,A10,Pfizer_PL_Plate1,SP20242,B20,RLIN_1017_F_02,RLIN_1017_F_02,-1,m,20,2
1867F-25,3,A11,Pfizer_PL_Plate1,SP20242,B21,1867-F-25_12,1867-F-25_12,-1,m,21,2
1867-F-24,1,B02,Pfizer_PL_Plate1,SP20242,C03,1867F-24_13,1867F-24_13,-1,m,3,3
,2,B02,Pfizer_PL_Plate1,SP20242,C04,RLIN_1017_1_B_03,RLIN_1017_1_B_03,-1,m,4,3
1867-F-24,1,B03,Pfizer_PL_Plate1,SP20242,C05,1867F-24_14,1867F-24_14,-1,m,5,3
,2,B03,Pfizer_PL_Plate1,SP20242,C06,RLIN_1017_1_C_03,RLIN_1017_1_C_03,-1,m,6,3
1867-F-24,1,B04,Pfizer_PL_Plate1,SP20242,C07,1867F-24_15,1867F-24_15,-1,m,7,3
,2,B04,Pfizer_PL_Plate1,SP20242,C08,RLIN_1017_1_D_03,RLIN_1017_1_D_03,-1,m,8,3
1867-F-24,1,B05,Pfizer_PL_Plate1,SP20242,C09,1867F-24_16,1867F-24_16,-1,m,9,3
,2,B05,Pfizer_PL_Plate1,SP20242,C10,RLIN_1017_1_E_03,RLIN_1017_1_E_03,-1,m,10,3
1867-F-24,1,B06,Pfizer_PL_Plate1,SP20242,C11,1867F-24_17,1867F-24_17,-1,m,11,3
,2,B06,Pfizer_PL_Plate1,SP20242,C12,RLIN_1017_1_F_03,RLIN_1017_1_F_03,-1,m,12,3
1867-F-24,1,B07,Pfizer_PL_Plate1,SP20242,C13,1867F-24_18,1867F-24_18,-1,m,13,3
,2,B07,Pfizer_PL_Plate1,SP20242,C14,RLIN_1017_2_C_03,RLIN_1017_2_C_03,-1,m,14,3
1867-F-24,1,B08,Pfizer_PL_Plate1,SP20242,C15,1867F-24_19,1867F-24_19,-1,m,15,3
,2,B08,Pfizer_PL_Plate1,SP20242,C16,RLIN_1017_2_D_03,RLIN_1017_2_D_03,-1,m,16,3
1867-F-24,1,B09,Pfizer_PL_Plate1,SP20242,C17,1867F-24_20,1867F-24_20,-1,m,17,3
,2,B09,Pfizer_PL_Plate1,SP20242,C18,RLIN_1017_E_03,RLIN_1017_E_03,-1,m,18,3
1867-F-24,1,B10,Pfizer_PL_Plate1,SP20242,C19,1867F-24_21,1867F-24_21,-1,m,19,3
,2,B10,Pfizer_PL_Plate1,SP20242,C20,RLIN_1017_F_03,RLIN_1017_F_03,-1,m,20,3
1867-F-24,1,B11,Pfizer_PL_Plate1,SP20242,C21,1867F-24_22,1867F-24_22,-1,m,21,3
1867F-25,3,B02,Pfizer_PL_Plate1,SP20242,D03,1867-F-25_13,1867-F-25_13,-1,m,3,4
,4,B02,Pfizer_PL_Plate1,SP20242,D04,RLIN_1017_1_B_04,RLIN_1017_1_B_04,-1,m,4,4
1867F-25,3,B03,Pfizer_PL_Plate1,SP20242,D05,1867-F-25_14,1867-F-25_14,-1,m,5,4
,4,B03,Pfizer_PL_Plate1,SP20242,D06,RLIN_1017_1_C_04,RLIN_1017_1_C_04,-1,m,6,4
1867F-25,3,B04,Pfizer_PL_Plate1,SP20242,D07,1867-F-25_15,1867-F-25_15,-1,m,7,4
,4,B04,Pfizer_PL_Plate1,SP20242,D08,RLIN_1017_1_D_04,RLIN_1017_1_D_04,-1,m,8,4
