384 Plate ID,Plate Map,Well,Human Readable Name,Catalog No.,MoleculeID,Concentration,Unit,Well X,Well Y,Volume,Barcode,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Notes,Library
SelleckChem007,SP0141-A,A01,DMSO_A01,,DMSO_A01,,,1,1
SelleckChem007,SP0141-A,A02,DMSO_A02,,DMSO_A02,,,2,1
SelleckChem007,SP0141-A,A03,ABT-263 (Navitoclax),S1001,ABT-263 (Navitoclax),10,m,3,1,25,192895290,974.61,923564-51-6,free base,Bcl-2,ABT-263 (Navitoclax) is a potent inhibitor of Bcl-xL; Bcl-2 and Bcl-w with Ki of _ 0.5 nM; _1 nM and _1 nM; but binds more weakly to Mcl-1 and A1. Phase 1/2.,C1=CC(=CC=C1C2=C(CC(CC2)(C)C)CN3CCN(CC3)C4=CC=C(C=C4)C(NS(C5=CC(=C(C=C5)N[C@H](CCN6CCOCC6)CSC7=CC=CC=C7)S(C(F)(F)F)(=O)=O)(=O)=O)=O)Cl,102,http://www.selleckchem.com/products/ABT-263.html,Apoptosis
SelleckChem007,SP0141-A,A04,SGX-523,S1112,SGX-523,10,m,4,1,25,192886110,359.41,1022150-57-7,free base,c-Met,SGX-523 is a selective Met inhibitor with IC50 of 4 nM; no activity to BRAFV599E; c-Raf; Abl and p38_. Phase 1.,C1=C2C(=CC(=C1)SC3N4C(=NN=3)C=CC(=N4)C5C=NN(C=5)C)C=CC=N2,5.56,http://www.selleckchem.com/products/SGX-523.html,Protein Tyrosine Kinase
SelleckChem007,SP0141-A,A05,OSI-930,S1220,OSI-930,10,m,5,1,25,192939446,443.44,728033-96-3,free base,c-Kit;CSF-1R;VEGFR,OSI-930 is a potent inhibitor of Kit; KDR and CSF-1R with IC50 of 80 nM; 9 nM and 15 nM; respectively; also potent to Flt-1; c-Raf and Lck and low activity against PDGFR_/_; Flt-3 and Abl. Phase 1.,C1=CC=C2C(=C1)C(=CC=N2)CNC3=C(SC=C3)C(NC4=CC=C(C=C4)OC(F)(F)F)=O,200,http://www.selleckchem.com/products/OSI-930.html,Protein Tyrosine Kinase
SelleckChem007,SP0141-A,A06,Epothilone B (EPO906; Patupilone),S1364,Epothilone B (EPO906; Patupilone),10,m,6,1,25,179617452,507.68,152044-54-7,free base,Microtubule Associated,Epothilone B is a Taxol-like microtubule-stabilizing agent with EC0.01 of 1.8 _M. Phase 2.,O1[C@@]2(CCC[C@@H]([C@@H]([C@H](C(C([C@@H](CC(O[C@H](C[C@H]12)/C(C)=C/C3N=C(SC=3)C)=O)O)(C)C)=O)C)O)C)C,200,http://www.selleckchem.com/products/Epothilone-B.html,Cytoskeletal Signaling
SelleckChem007,SP0141-A,A07,Dyphylline,S1504,Dyphylline,10,m,7,1,25,192958448,254.24,479-18-5,free base,PDE,Dyphylline is a xanthine derivative with bronchodilator and vasodilator effects.,N1(C(N(C2=C(C1=O)N(C=N2)CC(CO)O)C)=O)C,200,http://www.selleckchem.com/products/Dyphylline(Dilor).html,Metabolism
SelleckChem007,SP0141-A,A08,Zolmitriptan ,S1649,Zolmitriptan ,10,m,8,1,25,192948623,287.36,139264-17-8,free base,5-HT Receptor,Zolmitriptan(Zomig) is a selective serotonin receptor agonist.,C1=C(C=CC2=C1C(=CN2)CCN(C)C)C[C@@H]3NC(OC3)=O,201,http://www.selleckchem.com/products/Zolmitriptan(Zomig).html,Neuronal Signaling
SelleckChem007,SP0141-A,A09,Simvastatin ,S1792,Simvastatin ,10,m,9,1,25,192884407,418.57,79902-63-9,free base,Others,Simvastatin is a competitive inhibitor of HMG-CoA reductase with Ki of 0.1-0.2 nM .,C1[C@H](C=C2[C@]([C@@H]1OC(=O)C(CC)(C)C)([C@@H]([C@H](C=C2)C)CC[C@]3(OC(C[C@@H](C3)O)=O)[H])[H])C,200,http://www.selleckchem.com/products/Simvastatin(Zocor).html,Others
SelleckChem007,SP0141-A,A10,Nicorandil,S1971,Nicorandil,10,m,10,1,25,192901483,211.17,65141-46-0,free base,Potassium Channel,Nicorandil is potassium channel activator.,C1=CN=CC(=C1)C(=O)NCCO[N+]([O-])=O,198,http://www.selleckchem.com/products/Nicorandil(Ikorel).html,Transmembrane Transporters
SelleckChem007,SP0141-A,A11,Cisatracurium Besylate,S2113,Cisatracurium Besylate,10,m,11,1,25,192948585,1243.48,96946-42-8,besylate,Adrenergic Receptor,Cisatracurium Besylate is a nondepolarizing neuromuscular blocking agent; antagonizing the action of acetylcholine by inhibiting neuromuscular transmission.,C1(=C(C=C2C(=C1)CC[N@@+]([C@@H]2CC3=CC=C(C(=C3)OC)OC)(CCC(OCCCCCOC(CC[N@@+]4([C@@H](C5=CC(=C(C=C5CC4)OC)OC)CC6=CC=C(C(=C6)OC)OC)C)=O)=O)C)OC)OC.C7(=CC=CC=C7S([O-])(=O)=O).C8=CC=CC=C8S([O-])(=O)=O,200,http://www.selleckchem.com/products/cisatracurium-besylate-nimbex.html,Neuronal Signaling
SelleckChem007,SP0141-A,A12,Arbutin,S2263,Arbutin,10,m,12,1,25,192949861,272.25,497-76-7,free base,Others,Arbutin is a tyrosinase inhibitor with an IC50 of 1.09 mM.,[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)O)O)O)O)CO,202,"http://www.selleckchem.com/products/Arbutin(Uva,-p-Arbutin).html",Others
