384 Plate ID,Plate Map,Well,Human Readable Name,Catalog No.,MoleculeID,Concentration,Unit,Well X,Well Y,Volume,Barcode,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,,Library
SelleckChem004,SP0138-A,A03,TAK-875,S2637,TAK-875,10,m,3,1,25,179712999,533.63,1374598-80-7,hydrate,GPR,TAK-875 is a selective GPR40 agonist with EC50 of 14 nM; 400-fold more potent than oleic acid.,C1(=C(C=C(C=C1)COC2=CC=C3C(=C2)OC[C@H]3CC(=O)O)C4=C(C=C(C=C4C)OCCCS(=O)(C)=O)C).O.C5=C(C=C(C=C5)COC6=CC=C7C(=C6)OC[C@H]7CC(=O)O)C8=C(C=C(C=C8C)OCCCS(=O)(C)=O)C,187,http://www.selleckchem.com/products/tak-875.html,Endocrinology & Hormones,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A04,RITA (NSC 652287),S2781,RITA (NSC 652287),10,m,4,1,25,179766741,292.37,213261-59-7,free base,E3 Ligase ;p53,RITA (NSC 652287) induces both DNA-protein and DNA-DNA cross-links with no detectable DNA single-strand breaks; and also inhibits MDM2-p53 interaction by targeting p53.,O1C(=CC=C1C2=CC=C(S2)CO)C3=CC=C(S3)CO,198,http://www.selleckchem.com/products/rita-nsc-652287.html,Apoptosis,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A05,ICG-001,S2662,ICG-001,10,m,5,1,25,179709463,548.63,780757-88-2,free base,Wnt/beta-catenin,ICG-001 antagonizes Wnt/_-catenin/TCF-mediated transcription and specifically binds to element-binding protein (CBP) with IC50 of 3 _M; but is not the related transcriptional coactivator p300.,C1=CC=C(C=C1)CNC(N2[C@@]3(N(C(CC2)=O)[C@@H](C(N(C3)CC4=CC=CC5=C4C=CC=C5)=O)CC6=CC=C(C=C6)O)[H])=O,182,http://www.selleckchem.com/products/icg-001.html,Stem Cells &  Wnt,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A06,Sotrastaurin,S2791,Sotrastaurin,10,m,6,1,25,192940207,438.48,425637-18-9,free base,PKC,Sotrastaurin is a potent and selective pan-PKC inhibitor; mostly for PKC_ with Ki of 0.22 nM; inactive to PKC_. Phase 1/2.,N1C(C(=C(C1=O)C2N=C(N=C3C=CC=CC=23)N4CCN(CC4)C)C5=CNC6C=CC=CC5=6)=O,198,http://www.selleckchem.com/products/sotrastaurin-aeb071.html,TGF-beta/Smad,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A07,PF-00562271,S2672,PF-00562271,10,m,7,1,25,192900064,665.66,939791-38-5,benzenesulfonic,FAK,PF-00562271 is the benzenesulfonate salt of PF-562271; which is a potent; ATP-competitive; reversible inhibitor of FAK with IC50 of 1.5 nM; ~10-fold less potent for Pyk2 than FAK and >100-fold selectivity against other protein kinases; except for some CDKs. Phase 1.,C1(=NC(=C(C=C1)CNC2=C(C=NC(=N2)NC3=CC=C4C(=C3)CC(N4)=O)C(F)(F)F)N(C)S(=O)(C)=O).C5=CC=CC(=C5)S(O)(=O)=O,21,http://www.selleckchem.com/products/pf-00562271.html,Angiogenesis,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A08,Sirtinol,S2804,Sirtinol,10,m,8,1,25,192943335,394.47,410536-97-9,free base,Sirtuin,Sirtinol is a specific SIRT1 and SIRT2 inhibitor with IC50 of 131 _M and 38 _M; respectively.,C(C1C(=CC=CC=1)/N=C/C2C(=CC=C3C=CC=CC=23)O)(=O)NC(C)C4C=CC=CC=4,58,http://www.selleckchem.com/products/sirtinol.html,Epigenetics,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A09,CHIR-124,S2683,CHIR-124,10,m,9,1,25,194487403,419.91,405168-58-3,free base,Chk,CHIR-124 is a novel and potent Chk1 inhibitor with IC50 of 0.3 nM. It shows 2;000-fold selectivity against Chk2; 500- to 5;000-fold less activity against CDK2/4 and Cdc2.,C1(C(=C(C2=C(N1)C=CC(=C2)Cl)N[C@H]3C4CCN(C3)CC4)C5=NC6=C(N5)C=CC=C6)=O,16,http://www.selleckchem.com/products/chir-124.html,Cell Cycle,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A10,BYL719,S2814,BYL719,10,m,10,1,25,192878809,441.47,1217486-61-7,free base,PI3K,BYL719 is a potent and selective PI3K_ inhibitor with IC50 of 5 nM; and minimal effect on PI3K_/_/_. Phase 1/2.,N1([C@@H](CCC1)C(=O)N)C(=O)NC2SC(=C(N=2)C)C3=CC(=NC=C3)C(C(F)(F)F)(C)C,199,http://www.selleckchem.com/products/byl719.html,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A11,TG101209,S2692,TG101209,10,m,11,1,25,192953455,509.67,936091-14-4,free base,JAK;FLT3;c-RET,TG101209 is a selective JAK2 inhibitor with IC50 of 6 nM; less potent to Flt3 and RET with IC50 of 25 nM and 17 nM; ~30-fold selective for JAK2 than JAK3; sensitive to JAK2V617F and MPLW515L/K mutations.,C1=C(C=C(C=C1)NC2=NC(=NC=C2C)NC3=CC=C(C=C3)N4CCN(CC4)C)S(NC(C)(C)C)(=O)=O,200,http://www.selleckchem.com/products/tg101209.html,JAK/STAT,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A12,TPCA-1,S2824,TPCA-1,10,m,12,1,25,192933619,279.29,507475-17-4,free base,I_B/IKK,TPCA-1 is an inhibitor of IKK-2 with IC50 of 17.9 nM; inhibits NF-_B pathway; exhibits 22-fold selectivity over IKK-1.,C1(=C(C=C(S1)C2C=CC(=CC=2)F)C(=O)N)NC(=O)N,200,http://www.selleckchem.com/products/tpca-1.html,NF-_B,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A13,GSK1838705A,S2703,GSK1838705A,10,m,13,1,25,192892578,532.57,1116235-97-2,free base,IGF-1R;ALK,GSK1838705A is a potent IGF-1R inhibitor with IC50 of 2.0 nM; modestly potent to IR and ALK with IC50 of 1.6 nM and 0.5 nM; respectively; and little activity to other protein kinases.,N1=C(N=C2C(=C1NC3=CC=CC(=C3C(=O)NC)F)C=CN2)NC4=C(C=C5C(=C4)N(CC5)C(=O)CN(C)C)OC,200,http://www.selleckchem.com/products/gsk1838705a.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A14,Semaxanib (SU5416),S2845,Semaxanib (SU5416),10,m,14,1,25,192894665,238.28,194413-58-6,free base,VEGFR,Semaxanib (SU5416) is a potent and selective VEGFR(Flk-1/KDR) inhibitor with IC50 of 1.23 _M; 20-fold more selective for VEGFR than PDGFR_; lack of activity against EGFR; InsR and FGFR. Phase 3.,C1=CC=C2C(=C1)/C(C(N2)=O)=C/C3NC(=CC=3C)C,92,http://www.selleckchem.com/products/semaxanib-su5416.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A15,Nilvadipine,S2721,Nilvadipine,10,m,15,1,25,179676757,385.37,75530-68-6,free base,Calcium Channel,Nilvadipine is a potent calcium channel blocker with an IC50 of 0.03 nM.,C1(NC(=C(C(C=1C(=O)OC(C)C)C2=CC=CC(=C2)[N+](=O)[O-])C(OC)=O)C#N)C,199,http://www.selleckchem.com/products/nilvadipine-arc029.html,Transmembrane Transporters,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A16,SB271046,S2856,SB271046,10,m,16,1,25,192918307,451.99,209481-20-9,free base,5-HT Receptor,SB271046 is a potent; selective and orally active 5-HT6 receptor antagonist with pKi of 8.9; exhibits 200-fold greater selectivity over other 5-HT receptor subtypes.,C12C(C(=C(S1)S(=O)(=O)NC3C=C(C(=CC=3)OC)N4CCNCC4)C)=CC(=CC=2)Cl,88,http://www.selleckchem.com/products/sb-271046.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A17,MK-8776 (SCH 900776),S2735,MK-8776 (SCH 900776),10,m,17,1,25,192889979,376.25,891494-63-6,free base,CDK;Chk,SCH 900776 is a selective Chk1 inhibitor with IC50 of 3 nM. It shows 500-fold selectivity against Chk2. Phase 2.,C12N=C(C(=C(N1N=CC=2C3=CN(N=C3)C)N)Br)[C@H]4CNCCC4,199.34,http://www.selleckchem.com/products/sch-900776.html,Cell Cycle,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A18,IMD 0354,S2864,IMD 0354,10,m,18,1,25,192900987,383.67,978-62-1,free base,I_B/IKK,IMD-0354 is an IKK_ inhibitor and blocks I_B_ phosphorylation in NF-_B pathway.,C1=CC(=CC(=C1O)C(NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)=O)Cl,26,http://www.selleckchem.com/products/imd-0354.html,NF-_B,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A19,Anacetrapib (MK-0859),S2748,Anacetrapib (MK-0859),10,m,19,1,25,192948008,637.51,875446-37-0,free base,CETP,Anacetrapib (MK0859) is a potent; selective; reversible rhCETP and mutant CETP(C13S) inhibitor with IC50 of 7.9 nM and 11.8 nM; increases HDL-C and decreases LDL-C; does not increase aldosterone or blood pressure. Phase 3.,C1=C(C=C(C(=C1)C2=CC(=C(C=C2OC)F)C(C)C)CN3C(O[C@@H]([C@H]3C)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)=O)C(F)(F)F,199,http://www.selleckchem.com/products/anacetrapib-mk-0859.html,Metabolism,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A20,Camostat Mesilate,S2874,Camostat Mesilate,10,m,20,1,25,181344310,494.52,59721-29-8,mesilate,Others,Camostat is a trypsin-like protease inhibitor; inhibits airway epithelial sodium channel (ENaC) function with IC50 of 50 nM; less potent to trpsin; prostasin and matriptase.,C1(C(OC2C=CC(=CC=2)CC(OCC(N(C)C)=O)=O)=O)(C=CC(=CC=1)NC(N)=N).S(C)(O)(=O)=O,200,http://www.selleckchem.com/products/camostat-mesilate-foy-305.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A21,Canagliflozin,S2760,Canagliflozin,10,m,21,1,25,192953961,444.52,842133-18-0,free base,SGLT,Canagliflozin is a highly potent and selective SGLT2 inhibitor for hSGLT2 with IC50 of 2.2 nM; exhibits 413-fold selectivity over hSGLT1.,[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)C2=CC(=C(C=C2)C)CC3SC(=CC=3)C4=CC=C(C=C4)F)O)O)O)CO,200,http://www.selleckchem.com/products/canagliflozin.html,GPCR & G Protein,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A22,PF-562271,S2890,PF-562271,10,m,22,1,25,192943357,507.49,717907-75-0,free base,FAK,PF-562271 is a potent; ATP-competitive; reversible inhibitor of FAK with IC50 of 1.5 nM; ~10-fold less potent for Pyk2 than FAK and >100-fold selectivity against other protein kinases; except for some CDKs.,C1=NC(=C(C=C1)CNC2=C(C=NC(=N2)NC3=CC=C4C(=C3)CC(N4)=O)C(F)(F)F)N(C)S(=O)(=O)C,199,http://www.selleckchem.com/products/pf-562271.html,Angiogenesis,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A23,LPS_A23,,LPS_A23,,,23,1,,,,,,,,,,,,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,A24,LPS_A24,,LPS_A24,,,24,1,,,,,,,,,,,,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem004,SP0138-A,B03,Tempol,S2910,Tempol,10,m,3,2,25,192918183,172.24,2226-96-2,free base,Others,TEMPOL is a superoxide scavenger that displays neuroprotective; anti-inflammatory and analgesic effects.,C1(N(C(CC(C1)O)(C)C)[O])(C)C,197,http://www.selleckchem.com/products/tempol-4-hydroxy-tempo.html,Others,,L1700-Selleck-Bioactive-Compound-Library
