Plate Map,Well,MoleculeID,Concentration,Unit
SP0127,A03,C16 Ceramide,0.2,m
SP0127,A04,C-PAF,0.2,m
SP0127,A05,C8 Ceramine,0.2,m
SP0127,A06,D12-Prostaglandin J2,0.2,m
SP0127,A07,(R)-(+)-Methandamide,0.2,m
SP0127,A08,Dihomo-gamma-linolenic acid,0.2,m
SP0127,A09,"1_,25-Dihydroxyvitamin D3",0.2,m
SP0127,A10,Dihydrosphingosine,0.2,m
SP0127,A11,"1,2-Didecanoyl-glycerol (10:0)",0.2,m
SP0127,A12,Diidolylmethane,0.2,m
SP0127,A13,"1,2-Dioctanoyl-SN-glycerol",0.2,m
SP0127,A14,DL-Dihydrosphingosine,0.2,m
SP0127,A15,"1,2-Dioleoyl-glycerol (18:1)",0.2,m
SP0127,A16,DL-PDMP,0.2,m
SP0127,A17,(±)11(12)-Epoxyeicosatrienoic acid,0.02,m
SP0127,A18,DL-PPMP,0.2,m
SP0127,A19,12(R)-HETE,0.02,m
SP0127,A20,Docosahexaenoic acid(22:6 n-3),0.2,m
SP0127,A21,12(S)-HETE,0.02,m
SP0127,A22,Docosapentaenoic acid,0.2,m
SP0127,B03,Bepridil·HCl,2.481389578,m
SP0127,B04,Lycorine,3.480555009,m
SP0127,B05,Cyclopiazonic acid,2.972789463,m
SP0127,B06,10-hydroxycamptothecin,2.74460315,m
SP0127,B07,Dantrolene,3.182149415,m
SP0127,B08,beta-lapachone,4.127627906,m
SP0127,B09,Diazoxide,4.335178674,m
SP0127,B10,Parthenolide,4.027102399,m
SP0127,B11,Dichlorobenzamil·HCl,2.35238214,m
SP0127,B12,MG-132,2.102515281,m
SP0127,B13,Diltiazem·HCl,2.217398149,m
SP0127,B14,QNZ,2.805675545,m
SP0127,B15,E-4031,2.490523558,m
SP0127,B16,bezafibrate,2.763812846,m
SP0127,B17,Fipronil,2.287554787,m
SP0127,B18,Cycloheximide-N-ethylethanoate,2.72155721,m
SP0127,B19,Flecainide acetate,2.112437886,m
SP0127,B20,Ascomycin (FK-520),1.262614306,m
SP0127,B21,Flufenamic acid,3.555809677,m
SP0127,B22,U-74389G,1.637111618,m
SP0127,C03,12(S)-HPETE,0.02,m
SP0127,C04,Docosatrienoic acid (22:3 n-3),0.2,m
SP0127,C05,12-Methoxydodecanoic acid,0.2,m
SP0127,C06,"Eicosa-5,8-dienoic acid (20:2 n-12)",0.2,m
SP0127,C07,13(S)-HODE,0.02,m
SP0127,C08,Eicosadienoic acid (20:2 n-6),0.2,m
SP0127,C09,13(S)-HPODE,0.02,m
SP0127,C10,Eicosapentaenoic acid (20:5 n-3),0.2,m
SP0127,C11,"13,14-Dihydro-PGE1",0.2,m
SP0127,C12,Eicosatrienoic acid (20:3 n-3),0.2,m
SP0127,C13,13-cis retinoic acid,0.2,m
SP0127,C14,Enantio-PAF C16,0.2,m
SP0127,C15,"13-Keto-octadeca-9Z,11E-dienoic acid",0.02,m
SP0127,C16,Farnesylthioacetic acid,0.2,m
SP0127,C17,"(±)14,15-Epoxyeicosa-5Z,8Z,11Z-trienoic acid",0.02,m
SP0127,C18,Fluprostenol,0.2,m
SP0127,C19,15(S)-HETE,0.02,m
SP0127,C20,Gamma-linolenic acid (18:3 n-6),0.2,m
SP0127,C21,15(S)-HPETE,0.02,m
SP0127,C22,"Leukotoxin A (9,10-EODE)",0.02,m
SP0127,D03,Flunarizine·2HCl,2.094604926,m
SP0127,D04,Ebselen,3.64723904,m
SP0127,D05,Fluspirilene,2.102727932,m
SP0127,D06,TRIM,4.713175021,m
SP0127,D07,FPL-64176,2.878468194,m
SP0127,D08,Zardaverine,3.728335574,m
SP0127,D09,6-Gingerol,3.396901822,m
SP0127,D10,Zaprinast,3.686301629,m
SP0127,D11,Glipizide,2.244492576,m
SP0127,D12,Vinpocetine,2.853441536,m
SP0127,D13,Glyburide,2.024275107,m
SP0127,D14,Trequinsin,2.466155104,m
SP0127,D15,Grayanotoxin III,2.699198122,m
SP0127,D16,Siguazodan,3.517208293,m
SP0127,D17,R(+)-IAA-94,2.799332639,m
SP0127,D18,Rolipram,3.631836387,m
SP0127,D19,L-cis-Diltiazem·HCl,2.217398149,m
SP0127,D20,Ro 20-1724,3.592640548,m
SP0127,D21,Lidocaine·HCl·H2O,3.462436031,m
SP0127,D22,MY-5445,3.01388194,m
SP0127,E03,15-deoxy-Prostaglandin J2,0.2,m
SP0127,E04,"Leukotoxin B (12,13-EODE)",0.02,m
SP0127,E05,15-Ketoicosatetraenoic acid,0.02,m
SP0127,E06,Leukotriene B4,0.02,m
SP0127,E07,"16,16-Dimethyl-prostaglandin E2",0.2,m
SP0127,E08,Leukotriene C4,0.02,m
SP0127,E09,17-Octadecynoic acid,0.2,m
SP0127,E10,Leukotriene D4,0.02,m
SP0127,E11,17-Phenyl-trinor-prostaglandin E2,0.2,m
SP0127,E12,Leukotriene E4,0.02,m
SP0127,E13,1-Acyl-PAF,0.2,m
SP0127,E14,Linoleamide,0.2,m
SP0127,E15,1-Hexadecyl-2-arachidonoyl-glycerol,0.2,m
SP0127,E16,Linoleic acid,0.2,m
SP0127,E17,1-Hexadecyl-2-methylglycero-3 PC,0.2,m
SP0127,E18,Linolenic acid (18:3 n-3),0.2,m
SP0127,E19,1-Hexadecyl-2-O-acetyl-glycerol,0.2,m
SP0127,E20,Lipoxin A4,0.02,m
SP0127,E21,1-Hexadecyl-2-O-methyl-glycerol,0.2,m
SP0127,E22,L-NASPA,0.2,m
SP0127,F03,Loperamide·HCl,1.947427254,m
SP0127,F04,A-3,3.511704511,m
SP0127,F05,Methoxyverapimil·HCl,1.919057973,m
